email, senha
0.16315727879332173@mail.com,user123 
0.019576845321890787@mail.com,user123
0.07581144369273073@mail.com,user123 
0.678810938695463@mail.com,user123   
0.5209347427669663@mail.com,user123  
0.2065992765892547@mail.com,user123  
0.09690962365555268@mail.com,user123 
0.8423880204492447@mail.com,user123  
0.7766610528845375@mail.com,user123  
0.021287459825365743@mail.com,user123
0.16662882458350933@mail.com,user123 
0.9314272550542773@mail.com,user123  
0.05948121603054256@mail.com,user123 
0.4960321852298434@mail.com,user123  
0.8683592170915384@mail.com,user123  
0.379412948121549@mail.com,user123   
0.15460624014386393@mail.com,user123 
0.4504807701439849@mail.com,user123  
0.5511792543811828@mail.com,user123  
0.13107153361488322@mail.com,user123 
0.25634201281789876@mail.com,user123 
0.5588320989010447@mail.com,user123
